log2n,n,gpu_kernel_ms,gpu_total_ms,cpu_ms,speedup_kernel,speedup_total
10,1024,0.0513,0.0997,0.0462,0.90,0.46
11,2048,0.0554,0.0878,0.0912,1.65,1.04
12,4096,0.0614,0.0963,0.1934,3.15,2.01
13,8192,0.0665,0.1208,0.3856,5.80,3.19
14,16384,0.0790,0.1634,0.8660,10.96,5.30
15,32768,0.0981,0.2622,1.8520,18.88,7.06
16,65536,0.1409,0.4229,3.8164,27.09,9.02
17,131072,0.2164,0.7808,8.5792,39.65,10.99
18,262144,0.3672,1.3116,19.0441,51.87,14.52
19,524288,0.8742,2.6822,40.7674,46.64,15.20
20,1048576,2.5415,6.3689,90.1269,35.46,14.15
21,2097152,5.7488,13.0963,221.9393,38.61,16.95
22,4194304,12.6915,27.2755,506.7778,39.93,18.58
